,,eficiencia,eficiencia,media_s,media_s,speedup,speedup,std_s,std_s,delta_pct
algoritmo,,FxC,FxT,FxC,FxT,FxC,FxT,FxC,FxT,
N,hilos,,,,,,,,,
500,1,1.0,1.0,0.3536610333333334,0.2921205666666666,1.0,1.0,0.04629546635767603,0.022706139754037562,17.400974624383778
500,2,0.7787587488810211,0.8145122044615356,0.22706713333333334,0.17932240000000002,1.5575174977620423,1.6290244089230712,0.034339306134147686,0.011299320826705808,21.026703703192617
500,4,0.6051573114662541,0.5545474115729053,0.14610293333333332,0.13169323333333333,2.4206292458650163,2.2181896462916213,0.011593249319690564,0.02294137647868544,9.862704102678293
1000,1,1.0,1.0,2.8800619666666663,2.1639581333333333,1.0,1.0,0.2852457611076725,0.11509438936944949,24.86418145239212
1000,2,0.8823384599158485,0.8845692225325451,1.6320618999999996,1.2231706,1.764676919831697,1.7691384450650902,0.13721299357476419,0.04409292964089868,25.05366371214227
1000,4,0.6798839585807236,0.8095152351420403,1.0590270333333334,0.6682882666666669,2.7195358343228944,3.238060940568161,0.12199423388592037,0.0931518545590398,36.89601439509994
2000,1,1.0,1.0,40.7614318,16.02729406666667,1.0,1.0,1.198224418758926,0.3978244888734777,60.680247579853976
2000,2,0.9577937341207579,0.8966335714790625,21.278815233333333,8.9374827,1.9155874682415157,1.793267142958125,1.2444068014702534,0.28221362838693775,57.998212767036925
2000,4,0.8493190738086609,0.7661988623552385,11.998268099999997,5.229482466666668,3.3972762952346436,3.064795449420954,0.6788415488353645,0.26736358151423606,56.41468899443355
3000,1,1.0,1.0,155.77543193333335,54.3295927,1.0,1.0,3.1489171151096595,0.7232832931514054,65.12313140415412
3000,2,0.9718552231480816,0.9477938019263579,80.14333216666668,28.6610825,1.9437104462961632,1.8955876038527157,4.298991640628733,0.4900075357207837,64.23772043768258
3000,4,0.8701534934626916,0.8375652910908641,44.755159033333335,16.216524633333332,3.480613973850766,3.3502611643634563,1.9605284215037273,0.5622008471195109,63.76613337189714
